,Remoteness,Usage
1,1.09712244,0.499845646
2,164.0811868,0.034873395
3,177.6147497,0.016803319
4,98.78933984,0.15146771
5,79.19616764,0.173834598
6,196.0107759,0.006836327
7,144.1952036,0.053311748
8,8.46261601,0.555814672
9,5.979727395,0.313980383
10,123.1618945,0.083893178
11,188.4288025,0.009686219
12,161.5343083,0.008303995
13,49.51056005,0.164472156
14,125.8473498,0.077581892
15,108.3150967,0.076696502
16,96.47277785,0.111619019
17,68.90852368,0.084739929
18,166.1436266,0.041017475
19,91.56661755,0.133280004
20,4.487925721,0.38301132
21,53.66240679,0.263888658
22,170.5004239,0.030714237
23,70.08906817,0.208938279
24,77.05823672,0.391381866
25,109.8106574,0.058941472
26,77.45029116,0.100880698
27,131.7272262,0.057478575
28,17.26211896,0.492308003
29,13.7499386,0.306660048
30,87.44360651,0.185658775
31,103.9558605,0.156067582
32,25.69436403,0.403968378
33,129.3832232,0.118249284
34,28.13963946,0.278482827
35,99.46904108,0.03583662
36,86.65778623,0.293870128
37,77.68230392,0.199179964
38,199.0468721,0.020735724
39,58.71557761,0.223238521
40,142.1721542,0.098131872
41,10.57483149,0.291062892
42,123.8759207,0.07266534
43,1.128055062,0.312355927
44,104.6016141,0.138573587
45,68.02370036,0.071068066
46,181.2698296,0.00819672
47,42.33278581,0.327999111
48,16.97583711,0.570024193
49,113.6032565,0.078894869
50,113.1433219,0.194534446
51,124.3974549,0.028921893
52,40.77838422,0.272114273
53,9.179222817,0.544017492
54,76.26604424,0.192992172
55,94.75012668,0.092372132
56,1.933537377,0.493759694
57,86.91780576,0.06925051
58,120.4359142,0.099844652
59,178.9145144,0.018121607
60,149.6112829,0.04637825
61,118.0277547,0.043139219
62,17.65074586,0.736189287
63,105.7925383,0.051850633
64,95.65567714,0.102191427
65,118.4844158,0.112278209
66,142.186043,0.095262309
67,36.35621695,0.349976845
68,67.995176,0.135274541
69,100.6326075,0.090182934
70,183.7543158,0.034749175
71,98.01417263,0.207022107
72,110.2430888,0.045813899
73,140.6784079,0.024381257
74,79.10872335,0.104902521
75,20.66539889,0.587093156
76,119.7316848,0.051541458
77,70.35888671,0.309861068
78,79.24091481,0.09967761
79,97.25393392,0.156248249
80,100.4190328,0.125677731
81,31.76037674,0.393241436
82,158.2680915,0.078953122
83,98.4428409,0.034133395
84,57.70239164,0.500509226
85,104.0097919,0.073652413
86,47.90821224,0.324545921
87,4.953099648,0.490079978
88,2.062112186,0.628131479
89,139.4234699,0.013475588
90,177.8826633,0.014846924
91,91.18264569,0.196363032
92,28.13551486,0.434180166
93,92.63709462,0.062314971
94,196.7361763,0.033390133
95,175.7125454,0.015273922
96,91.00074121,0.11737085
97,77.46443646,0.275044709
98,34.25630443,0.106134366
99,55.54975001,0.12770703
100,71.53228195,0.238079965
